Nice
EXCELLENT SERVICE.





Staff’s politeness
Safe journey...enjoyed
Always Akasa satisfied with the good flight service
"Flight on time take off and landing. 
Brand new aircraft. 
Good staff, with different uniform.."
Timimg
It was smooth..
All good 👍
Good

My favorite bottle missing your flight

"very, very good"

"Not so great with check in … my weight was 17 kg it has to be 15  kg but they charge me 1400/- when I check in Akasa air baggage extra charge baggage for domestic flights at discounted rates compared to airport purchases. For 3 kg, it's ₹1,350; for 5 kg, it's ₹2,250; for 10 kg, it's ₹4,500; and for 15 kg, it's ₹6,750. If you need to purchase excess baggage at the airport, it will cost ₹550 per kg. But they charge each 700/- for 1kg .. totally scam .. I told them please discount but not very money minded"

Delayed flight
On time and seats r good
Can do more better
The check in was stressful the crew member was very rude. Not at all good to talk to.
On time arrival







Good
on time flights

M
"We had a fantastic experience flying with Akasa Air. From check-in to boarding, everything was seamless. The airline provided excellent assistance for our 6-month-old baby, including a special first-time traveler certificate. The crew was incredibly friendly and polite, making our flight comfortable and stress-free. Overall, it was a wonderful journey, and we’re very grateful for the thoughtful service we received. Thank you for making our experience memorable!"
"On Time Departure & Arrival.
Complementary Free Seat and Snack/Beverages."
Very good 👍

Good 👍🏻
Na
"Timely departure,  early arrival & excellent coffee."


On time departure and arrival. Clean and new plane
Leg room was awesome and seat was great
very fast
"Good experience.
But I have booked sandwich at time of tickets booking but didn't get the sandwich....."
Very good Behaviour All crue members And very smooth experience


"Warm hospitality 
Clean plane ,"
"Services, staff and choice of food was amazing."
Crew men are a bit arrogant not able to serve water properly when we press button for any need they just switch off without asking need unprofessional crews need training to treat customer in better manner
Good cabin crew. Warm and polite.
Prayagraj staff is no good
I can’t believe this right time

The ground staff was so rude !! Not at all helpful never will fly in Akasa in my life !!they loot the customers
Very good 👍 thanks


Journey with akasa air
Best moment
Good cleaning and helpful staff
"It was your check in staff, Ms Gunjan at the desk was very helpful and patient in dealing with everything, she even helped us in choosing the correct seat and guided us"
Good experience &neat clean 🫶💕

"Good service I am happy very happy first time journey 
Very happy happy thank you so much akasa air team"
"Clean aircraft
Hospitable crew
Refreshing experience"
Gud
Punctuality and comfort





"Good Aircraft; Obcourse, the LANDING was very SMOOTH. The crew were very polite."
Air hostess service and before time landing..
Special care for super senior citizen
On time departure and arival
Great time
Reach before time it's good

"Timely departure and arrival
Promptness of crew members"


"I have first time travelling from Akasha Airlines and my experience is very Good, all womens are supposed"

Acha







"No more next Travel with this Airline!!Detailed grievance  with authentication of evidence follows in appropriate FORUM, with the financial implications and emotional trauma at hands ig ground staff"
Best
Excellent
Na

Happy journey 🎉🎉🎉


"Service , aircraft and the food"




Seating arrangement in aircraft
First time nice experience with u all.See u next time again.
"It was good and even the service is perfect 
I would love to choose akasa for my all upcoming flights"
"Shuttle bus take 30 min near the Aircraft ,Halt in heavy rain don't know why overall you need to increase the frequency of Shuttle buses from terminal to aircraft .
Thanks 
Nilay G"

Very nice
Good and pleasant experience


good 😊
The sexy airhostesses
"I travelled from Del to Bom 22nd and Bom - Del on 24th July . Both times while waiting to take off the ACs were no operational even after complaining. Seems airline is least bothered for customer convenience and saving fuel .

This was first time I travelled Akasa and should be my last ."
Outstanding hospitaility





"Flight was so empty, yet when I booked 1 day prior I paid 11k+.
Isn't your pricing based on demand n sell? Maybe if fares were lower more people would have booked.
Flight experience was good n so was the crew. 
This is my 3rd international flight onAkasa in 8 months  do you'll have frequent flyer membership?"

"Very nice dealing of staff(ground staff, booking & check-in staff, cabin & cockpit crews)."
"Smiling faces , polite behaviour and on time arrival/ departure"
Fantastic cabin crew and delicious food
"Excellent service,"
बहुत ही अच्छा लगा यह सफर

"1. They were checking IDs while boarding only for passengers with digital boarding passes. What do you/your staff want to show?

2. We were three people with two cabin-sized bags. One bag weighed 8.3 kg and the other one was 9 kg, totaling 17.3 kg. The cabin baggage allowance is 7 kg per person, so 7 × 3 = 21 kg. How is 17.3 kg more than 21 kg? The staff still said we were over the limit, which makes no sense.

3. The cabin was hot. Despite the AC being on, it didn’t feel like it was cooling at all.


This was our first time flying with Akasa Air (Flight QP 1563 on 23/07/2025), and honestly, it was a terrible experience. I might still ignore how warm and uncomfortable it was inside the aircraft as we didn't sweat, but the other two issues were absolutely ridiculous. We were three people with two cabin-sized bags — one was 8.3 kg and the other 9 kg, totaling 17.3 kg. The allowed cabin baggage is 7 kg per person, which means we were allowed 7 × 3 = 21 kg in total. How is 17.3 kg more than 21 kg? It’s not — and yet the staff acted like we were breaking some major rule. On top of that, they were selectively checking IDs only for passengers with digital boarding passes, which felt completely random and unfair. We genuinely felt like “Did we do something wrong out of the 200 passengers on board?” We've never faced this kind of treatment with other low-cost airlines like IndiGo, who clearly understand how to treat passengers with respect. This was beyond frustrating. We aren't flying on Akasa Air ever again."
Awesome
ಖುಷಿ ಆಯಿತು.ನಿಮ್ಮ ಸೇವೆ ಹೀಗೇ ಸಾಗಲಿ

Good 👍
Very ossum experience in your airlines sir .
"Very Good Flight and service, 100 time best more than Spice Jet"

Snacks quality poor
Very Professional and Personalized  service
Nice

very good
Great experience
Good 👍
Be on time and if we book seat with same pnr kindly give seat together.

Amezing

Very nice traval

On time


Very nice I'm so happy  thankyou everyone ❣️😊✈️




understanding



Behaviour of the crew members and Punctuality of the flight
All round from departure to arrival




"My new trolley got broken, and scratches everywhere"
"“I am extremely disappointed with the treatment received from the ground staff at kempegowda international airport Banglore from Akasa Airlines ground staff to be specific on [24/6/2025 ]. Despite being a paying customer, we were spoken to with complete disregard and treated with rudeness and arrogance.




The staff lacked basic courtesy, were unhelpful during a luggage issue – e.g., baggage issue,  and made an already stressful travel experience worse. No one took responsibility, and any attempt to seek clarity was met with eye rolls and cold behavior.




We expect professionalism and basic decency—not humiliation—from an international carrier. I sincerely hope the airline takes this seriously and trains its ground staff in customer service and empathy.




This experience has made me question whether I’ll ever choose this airline again.” In a way never ever choosing this airline"
Everything is good. Just take care of luggages. I do understand that it is raining



Had to ask for water multiple times. Crew kept on forgetting
"I had a booking through my company. I got three bags 2 cabin (1laptop and 1norma) and 1 main luggage where all put together weighted 14kgs. Still I have been charged 1000rs. It’s very disgusting where you agents simple escape saying it’s a policy. If you you are so stringent on policy, you should have also refunded half the flight cost due to delay, which you have taken for granted."
Owing to last trip my feedback will be negative zero. Pnr-V4P42S. I m sure you will do nothing after one more trip I m not going to fly akasa any more anr ensure you lose at least 500 customer in next 6 months
Food I selected Upma but served me some other food
All is well
Staff at the check in couldn't give us seats together in spite of repeated requests. And the flight was not fully booked.



Excellent
Why do you always land at T2 and then take us to T1? It’s such a waste of time
Timing


Overall service





New flight
The chat buster box with cloudy view and my laptop with movie with better staffing than any airline. Very nice but chaat box price was a bit high
Fantastic
Nice
Check In Team Member at Bangalore Airport was extremely helpful and courteous. She helped me with desired seat without making me feel uncomfortable. Shout out to her
Crews


Excellent
Everything was easy and on time. No stress at all. Keep up the good work.
i reached before time
"The flight i booked was first cancelled, and I was put on a flight that departed two hours before my originally booked flight. However, after I got done with the checkin process for this new flight, my flight was delayed by 3+ hours without any reason provided for the delay. It disrupted my entire plan for the day. I would never fly Akasa if this is how time management works in the airline."
All aspects
Wonderful experience no issues with travel. Fantastic experience



Service
Good
"Gr8 service provided by Leann, Ayush, Jeevan, Renu...."
very good experience     thank you




Hospitality of Crew Member
its too good
Very nice

Akasa saved me from missing Pune to Dubai flight after a ditch given by Spicejet by abruptly delaying flight from Goa to Pune



Aircraft

"Hello Akasa airline Team,

Your service is awesome,I would love to travel again!❤️❤️"







Everything
Good






Leg space is good 👍

"How to start. This was my first akasa flight. I usually travel in other flights. 
Great customer service, neat, hygienic, seats were so clean, crew was so so warm. 
In other flights it feels like we have boarded a flying haryana roadways. 
Finally got a proper flight wala experience. 

Very nice experience. Everything was perfect. Zero complaints. Gonna travel more often via akasa. 
Keep growing."
Good
Service was good and in flight hospitality was excellent. But only issue is that from akasa i received information that baggage has to be collected from belt 8 but it was 5. Miscommunication was there.
Cleaniness
Good flight and comfortable Staff is also good
Got aisle seat but the passenger who was in middle was also bigger than me now think how i wud have managed iam 120kg😊

Bahut  achaa

No food
Flight experience was good however we boarded from T1 and we were taken to t2 which consumed a time
Good
Luggage bag checking system is not good.. it's total harassing the people
"Nice crew staff special ilmamaz
Soumila mamta"


There has been significant changes and improvements since I last flew with Akasa. I notice that the flights now depart and arrive on-time. I am very impressed and it is a very pleasant flying experience of late with Akasa. I only hope this keeps going and getting better.
There has been significant changes and improvements since I last flew with Akasa. I notice that the flights now depart and arrive on-time. I am very impressed and it is a very pleasant flying experience of late with Akasa. I only hope this keeps going and getting better.

Good service 💯
Nice
The staff service ontime flight the aircraft everything
Flight was on time & landed before time.
Excellent hospital and timely departure. Boarding was well planned..

Great
"Greetings and complimentary foods and beverages, services provided by the staff"
My drink was not served.
On time
"I had a flight from Bagdogra to Doha via Mumbai. At Mumbai my terminal were supposed to be changed, no AKASA Air staff was at the coach service. I went to the AKASA counter and asked the ladies sitting there for help and they are very rude and passing comments like if you have travelled in life before and all. Eventually I had to pay 1200 extra for transfer and had to get insulted by AKASA Air staff."
Food
"Departure & Arrival on time.
Courteous staff."
"I used the toilet at front side of the plane but after use I found that there was no soap solution coming from the nozzle even pressing the same fully a number of times. I showed it to the Air hostess also. She checked herself but even after checking the same herself that soap solution is not coming, she didn't extend any help so that I may wash my hands with soap & water. My seat number was 6C."
"QP 1518 to COK (T1) on 24 Jul 25 (PNR - E7RY9G)

My father R V Subramanian who is 83 yrs old was not given wheel chair assistance even though I had upgraded to priority checkin . Your team could have been more sensitive."
Flying and landing was smooth
Hard landing pathetic landing experience this is 3rd time and akasa has already received so many DGCA notice for hard landing still no improvement
On time service and friendly crew
I had booked my snacks & changed my flight but on that I wasn't served my snacks
"The airline's failure to maintain a comfortable cabin environment during a recent flight was quite disappointing. Passengers endured uncomfortable temperatures, which significantly detracted from the overall travel experience. Despite multiple complaints, the crew was unable to resolve the issue, leaving travelers in a state of discomfort for an extended period. The lack of proper air conditioning not only affected comfort but also raised concerns about potential health implications. Such negligence reflects poorly on the airline's commitment to passenger well-being and service quality. The incident underscored the need for improved maintenance protocols and a more responsive approach to in-flight emergencies. Passengers deserve a safe and pleasant journey, and this incident fell short of meeting that standard. Therefore, the airline should prioritize addressing these shortcomings to prevent similar occurrences in the future."


The complimentary (pre-booked) meal was not up to the mark. The meal comprised of a fried item that was served cold and tough. I am satisfied with the overall services of Akasa Air but wanted to convey this feedback .
Excellent service
Very good experience




Vgood service hostest
"I apreciatr the pilot in command
Who with storms and rain he was fabulous in his descent approach and landing.
Commendable skills. He needs a promotion"

S

On time this is the best part 👍👍
Ambiance
I am travelling by plane for the first time. It was very nice.
"I had a great experience flying with Akasa Air! The flight was smooth, the cabin crew was polite and professional, and everything was well-managed from boarding to landing. The aircraft was clean and comfortable, and I truly appreciated the on-time service.
Looking forward to flying with Akasa Air again soon!"
*****
All are good


"Flight was delayed for almost 2 hrs and flight was at preferred dinner time (8-10). I understand that sometime situations are not in control but missing was service and some pro active approach.  Because we were keep asking water.

Can I have the detailed reason for the delay and what is your RCA for the situation"
Good
Good experience thank you 👍
It was pleasant journey flight was in time and other facilities were good
No response from WhatsApp
Good Experience in your Air Travel 🧳
Excellent
Thank you
"This was my first experience with Akasa and it was good , crew were also efficient on the flight. However, there is one concern I would like to bring to your attention, I am unaware of whether this is the correct platform to do so but would like to share nevertheless. We had booked a flight for 24th morning to BLR the 8.10 am one which was rescheduled to 8 am as per a mail received by Akasa. On the 23rd, we received a mail for seat selection and web check in and once we did that and received the e-ticket we came to know our flight was preponed to the 2.20 am BLR flight with no intimation whatsoever. We could have missed the flight had we not checked in for the flight. This was brought to the notice of customer care as well. This isn’t a complaint just to be more mindful about this that’s all.
Thank you !"
Nice
Good



Offering water after getting boarded.
Good
Comfortable journy with akasha airline

Smooth and efficient check in and ontime departure and arrival
Staff behaviour and comfortable seat
Totally a very friendly staff.

Intime and nice service
"We have travelling in the airline for the first time.Nyc seat and comfortable,cabin crew are good"
"I would like to share my experience on flight QP 1528, which I boarded around 8:30 PM. The scheduled departure was 9:10 PM, but the flight was delayed due to passenger-related anxiety issues. I understand that this was beyond the airline’s control, and I truly appreciate the patience and professionalism shown by the crew in handling that delicate situation.

However, I would like to bring to your attention a concern I faced during the delay. I had pre-booked a meal and, trusting that it would be provided, I didn’t carry any additional food with me. Around 10:15 PM, I requested my meal as I was beginning to feel lightheaded. Unfortunately, the crew did not serve me at that time, and I was not informed of any issues. My condition worsened and I almost fainted. Thankfully, a fellow passenger kindly offered me food, which helped me recover.

Later, after the flight took off and the food service began, I was the only one who wasn’t served. When I expressed my distress, I was told that my meal had been mistakenly given to someone else. Only after I insisted did the crew offer me alternative options, which I gladly accepted. I believe that if this had been communicated earlier, I could have chosen something suitable and the situation could have been avoided.

🛫 Overall, the flight was smooth and the crew was commendable in their handling of the unexpected challenges. My only suggestion would be for greater attentiveness in situations involving passenger wellbeing—especially during delays and meal service.

Thank you for your service, and I hope this feedback helps improve future experiences for passengers."
"Recieved my luggage from strip 1, in damaged condition. Plz call me on 9958878887. I have pictures and boarding pass details."
"Comfortable Seating
Staff"

Landing was slightly rough otherwise the experience was nice

Good service

First time travel in mumbai to darbhanga nice experience
"Mr.Tanweer at the gate no. 7 and gate no. 5 was a great help.
I missed my 1st flight he helped me to get another ticket quickly without waiting any time. Keep it up Akasa"
"Excellent experience 
Some time taking process in Luggage droping counter at airport 30min is very high"
Comfortable and safe journey
Good

Nex taime Travells Dinar  ned

There was a lot of noise throughout the flight
Very more time wested for luggage  collection
Lively crew on time arrival and we'll maintained aircraft
Cabin crews were very cooperative.
Good experience

Good
Extremely disappointed that you make us pay for seats and then at the web check-in phase allot random seats and say its due to oeprational issues. Extremely disappointing!

Everything on board
Excellent service
Cabin crew
Very good👍
"The journey was booked for an earlier flight that was cancelled. The couple of hours delay impacted my schedule. Plus, I had paid for window seat but ended up getting the one in the middle."



"Good experience. I mistakenly missed my laptop in flight at Hyderabad when I was traveling from Delhi to Hyderabad. At Hyderabad airport, I contacted Akasa Air staff; they helped me and provided my missing laptop. I am grateful to Akasa Air and all the staff members. Thank you very much."
"Schedule timings, seat comfort and most important economic fare compare to peers."
Services are good
"My baggage was only 2 kgs overweight and I was asked to pay for the extra amount. Usually, all flights allow 10% extra baggage, flight was not full but the executive still asked me to pay for it. Not a great experience in this."


Keep timing and take care luggages
Customer service
Very nice. Feeling so cool and excited. Neat and clean. Staff is also nice.
From check in to boarding everything was buttery smooth. It was our fourth journey with you and every crew member was awesome person with pleasant personality. Great service Akasa.
Kindness by the wheel chair persons I need wheel chair in Amsterdam airport  also. am pls arrange

"Punctual , neat, clean and cooperative staff"
Jjjj


Everytime I travel with Akasa we have a issue of Air conditioning before departure. The experience was not good at the time of boarding flight we need to wait for 20-25 within the flight before departure but during that duration the Air Conditioning should do good like other airlines



"Take off , landing and leg space"

On time
Good
Comfortable sit charging system


"In-plane food service didn't even reach our seat numbers 9D and 9E. Both sides of serving carts stopped short of reaching our rows at all. So, we could not order snacks/lunch"
"I had a perfurme bottle in the top compartment of my checkin, when I found my bag it was open, the box was there but the perfume wasn't it is so shameful that this happened"


Flight seats are very comfortable than others.crew members also very cooperative nature.
Staff
The boardi no time was delayed yet the flight arrived on time. Ground Staff and especially the crew was fantastic.

Good


Drinking water in flight


Very nice
Good 👍
Services




Very good 👍🏼





Flight was on time. Courteous staff
"1. Observed that staff training needs improvement, co-ordination during safety instructions announcement was not proper. 2. PA system was not working properly, sound coming was frequently breaking. 3. For long delays as was the case with my flight some gesture like snacks or a drink from the airlines will be appreciated."
Good
Hospitality and kind service from the starting to the end especially in ticket counter boarding pass.... Feels like a warm gesture.... In future I ll like to continue in this flight.... Thank you the whole team of Akasa Air...🙏😊
Good
It Was Good experience
Panchualty
Service in all aspects


123
price + timing + staff behaviour
Great flight
Good
Good




Flight was delayed 2 hr. I know it was due to some passenger problem but your staff did not handle the situation properly. And flight got delayed.



Unusual delayed in flight and crew member were not at all co operative
On time. Good meal.
The food and the hospitality of the staff
Food
Thank you
Good

On time arrival helped me to reach my destination on time. Also the crew was very nice and helpful.

Na

Plz tell me belt no.that i will collect my ladgue



Delayed flight
"Service, cleanliness, on time departure & arrival, luggage delivery"
Very smooth
Very nice and very comfortable journey ty
Good


Nice
"On time departure /artival
And boarding procedures"

No water botel.no lunch
Be on time

Fast checkin & boarding process
hospitality within budget
I was sold a seat which didn’t exist
I think very safe air
Hehe
Every moment

Feel comfortable and staff are friendly

Nice service nice airlines
It's nice  and comfortable travel
Flying good and my all family is comfortable and we all get free meal and enjoy journey thank you to all give us





Air conditioning could have been better
Good service
"1. Firstly u hv dumped me from my original flight QP1544 to QP1375 with out even calling me for my consent because of which I had to cancel all my programs scheduled for 24th morning , causing so much pain and embarrassment 
2. I had to re-checkin and re-reserve my seats by paying additional 510/- as your team has removed my seat reservation done on QP1544

3. All I Recieved was a msg 24 hours before scheduled departure of the flight, saying I need to web check in again … when I started web checkin I realised that I hv been dumped on a flight which is not convenient for my schedule 

This is not only high handedness in ur part but also unpardonable as u guys hv messed up my scheduled meetings"
Food and cabin crew nature was splendid

"On time flight, great meal 👍"
Ground staff at T1 airport was very rude.
Very good  trips

Professional handling of the medical situation on-board and minimal delay caused
Nice
"Meal and Beverage was not served, inspite of mentioning it's a corporate booking. I booked the ticket myself along with 2 other colleagues."
"Honestly i like professional yet polite behaviour of crews. Fly time. I also wanted to express my gratitude and appreciation regarding seating arrangement; During my recent travels with your airline, whenever I selected middle seat, i was not seated between two men. Which ensured my journey was comfortable and pleasant."
Satisfied
My journey always great with Akasa Air
Very good
Excellent
"Had a prebooked meal, however during check-in I was not able to change the meal plan
Requested air hostess to change inflight, however they refused."
On time

On time as per schedule.


Everything except non receipt of baggage belt no
Cabin crew Rahul was very rude had to ask and remind 3 times for water and after that he gave with a lot of arrogance.  Terrible service
"The departure was supposed to be from T1 but the bus took us all the way till T2, the seats are very compact, I was served a cold wrap in the name of corporate meal and one of the hostess collecting waste did not bother taking my cup inspite of me extending the same! Will never travel on Akasa."
Ground staff and cabin crew is very very courteous and take extra care beyond other airlines



Timing and no delays
Before time arrival & very courteous staff.
Smooth and early landing
Good leg space and polite crew.
Bahut bahut dhanyawad

It was good
it's on time.
Nice 🙂

Interior of flight is good..sufficient leg space. Great time spent..

😊
Flight on time.
